Area,ISO3 Code,Year,Demand,Net Imports,Total Generation,Clean,Nuclear,Wind and Solar,"Hydro, Bioenergy and Other Renewables",Fossil,Coal,Gas and Other Fossil,AvgPrice_EUR_MWh,MaxPrice_EUR_MWh,StdPrice_EUR_MWh
France,FRA,2015,510.08,-64.06,574.14,529.27,437.43,29.17,62.67,44.87,11.89,32.98,38.52916666666667,50.14,6.468173071183846
France,FRA,2016,517.34,-41.5,558.84,502.2,403.2,30.04,68.96,56.64,10.23,46.41,36.72,65.18,14.571337369207837
France,FRA,2017,515.61,-40.13,555.74,490.27,398.36,33.48,58.43,65.47,12.81,52.66,44.995000000000005,78.0,14.868308273273419
France,FRA,2018,513.27,-62.97,576.24,526.79,412.94,39.75,74.1,49.45,8.31,41.14,50.20416666666667,67.81,12.07057011407448
France,FRA,2019,507.85,-57.67,565.52,511.91,399.01,46.74,66.16,53.61,3.64,49.97,39.485,61.15,8.376136557886555
France,FRA,2020,482.21,-45.04,527.25,478.86,353.83,53.14,71.89,48.39,3.09,45.3,32.16583333333333,48.42,11.432928089381551
France,FRA,2021,505.42,-44.89,550.31,501.46,379.36,52.4,69.7,48.85,5.44,43.41,108.83749999999999,274.51,74.79772773955104
France,FRA,2022,483.19,14.94,468.25,407.9,294.73,57.34,55.83,60.35,4.16,56.19,275.06166666666667,493.08,101.98477514122419
France,FRA,2023,466.39,-50.47,516.86,475.8,338.2,70.64,66.96,41.06,1.61,39.45,97.25,148.78,23.70647935979451
France,FRA,2024,470.26,-89.85,560.11,531.45,380.45,67.87,83.13,28.66,1.02,27.64,57.94333333333333,100.55,23.82144882752567
Germany,DEU,2015,590.89,-48.28,639.17,279.93,91.79,118.7,69.44,359.24,272.2,87.04,31.764166666666668,39.37,3.8172061614206636
Germany,DEU,2016,591.0,-50.52,641.52,273.76,84.63,117.48,71.65,367.76,261.75,106.01,28.956666666666667,38.21,5.7921142839888695
